District,Area (Ha),Production (Tonnes),Year,Disruption,Severity (%),Production Loss (Tonnes),Adjusted Production (Tonnes),Description
Kasaragode,2744.1,1187.74,2011,0,0,0.0,1187.74,"In 2011, the district Kasaragode had an area of 2744.1 hectares dedicated to pepper cultivation, producing 1187.74 tonnes without any disruptions."
Thiruvananthapuram,2404.36,1019.21,2012,0,0,0.0,1019.21,"In 2012, the district Thiruvananthapuram had an area of 2404.36 hectares dedicated to pepper cultivation, producing 1019.21 tonnes without any disruptions."
Kollam,3244.1,1064.81,2012,0,0,0.0,1064.81,"In 2012, the district Kollam had an area of 3244.1 hectares dedicated to pepper cultivation, producing 1064.81 tonnes without any disruptions."
Pathanamthitta,1736.38,609.31,2012,0,0,0.0,609.31,"In 2012, the district Pathanamthitta had an area of 1736.38 hectares dedicated to pepper cultivation, producing 609.31 tonnes without any disruptions."
Alappuzha,632.12,137.51,2012,0,0,0.0,137.51,"In 2012, the district Alappuzha had an area of 632.12 hectares dedicated to pepper cultivation, producing 137.51 tonnes without any disruptions."
Kottayam,3130.65,1119.83,2012,0,0,0.0,1119.83,"In 2012, the district Kottayam had an area of 3130.65 hectares dedicated to pepper cultivation, producing 1119.83 tonnes without any disruptions."
Idukki,43668.35,26076.84,2012,0,0,0.0,26076.84,"In 2012, the district Idukki had an area of 43668.35 hectares dedicated to pepper cultivation, producing 26076.84 tonnes without any disruptions."
Ernakulam,1842.32,520.03,2012,0,0,0.0,520.03,"In 2012, the district Ernakulam had an area of 1842.32 hectares dedicated to pepper cultivation, producing 520.03 tonnes without any disruptions."
Thrissur,1813.68,485.34,2012,0,0,0.0,485.34,"In 2012, the district Thrissur had an area of 1813.68 hectares dedicated to pepper cultivation, producing 485.34 tonnes without any disruptions."
Palakkad,2543.52,966.74,2012,0,0,0.0,966.74,"In 2012, the district Palakkad had an area of 2543.52 hectares dedicated to pepper cultivation, producing 966.74 tonnes without any disruptions."
Malappuram,2948.51,461.65,2012,0,0,0.0,461.65,"In 2012, the district Malappuram had an area of 2948.51 hectares dedicated to pepper cultivation, producing 461.65 tonnes without any disruptions."
Kozhikode,3331.67,895.73,2012,0,0,0.0,895.73,"In 2012, the district Kozhikode had an area of 3331.67 hectares dedicated to pepper cultivation, producing 895.73 tonnes without any disruptions."
Wayanad,12917.06,6814.06,2012,0,0,0.0,6814.06,"In 2012, the district Wayanad had an area of 12917.06 hectares dedicated to pepper cultivation, producing 6814.06 tonnes without any disruptions."
Kannur,4192.49,1525.17,2012,0,0,0.0,1525.17,"In 2012, the district Kannur had an area of 4192.49 hectares dedicated to pepper cultivation, producing 1525.17 tonnes without any disruptions."
Kasaragode,2660.89,1151.73,2012,0,0,0.0,1151.73,"In 2012, the district Kasaragode had an area of 2660.89 hectares dedicated to pepper cultivation, producing 1151.73 tonnes without any disruptions."
Thiruvananthapuram,2187.7,927.36,2013,0,0,0.0,927.36,"In 2013, the district Thiruvananthapuram had an area of 2187.7 hectares dedicated to pepper cultivation, producing 927.36 tonnes without any disruptions."
Kollam,3360.27,1102.94,2013,0,0,0.0,1102.94,"In 2013, the district Kollam had an area of 3360.27 hectares dedicated to pepper cultivation, producing 1102.94 tonnes without any disruptions."
Pathanamthitta,1737.31,609.64,2013,0,0,0.0,609.64,"In 2013, the district Pathanamthitta had an area of 1737.31 hectares dedicated to pepper cultivation, producing 609.64 tonnes without any disruptions."
Alappuzha,586.22,127.52,2013,0,0,0.0,127.52,"In 2013, the district Alappuzha had an area of 586.22 hectares dedicated to pepper cultivation, producing 127.52 tonnes without any disruptions."
Kottayam,3218.89,1151.39,2013,0,0,0.0,1151.39,"In 2013, the district Kottayam had an area of 3218.89 hectares dedicated to pepper cultivation, producing 1151.39 tonnes without any disruptions."
Idukki,41526.3,24797.7,2013,0,0,0.0,24797.7,"In 2013, the district Idukki had an area of 41526.3 hectares dedicated to pepper cultivation, producing 24797.7 tonnes without any disruptions."
Ernakulam,1894.1,534.65,2013,0,0,0.0,534.65,"In 2013, the district Ernakulam had an area of 1894.1 hectares dedicated to pepper cultivation, producing 534.65 tonnes without any disruptions."
Thrissur,1731.71,463.4,2013,0,0,0.0,463.4,"In 2013, the district Thrissur had an area of 1731.71 hectares dedicated to pepper cultivation, producing 463.4 tonnes without any disruptions."
Palakkad,2557.93,972.22,2013,0,0,0.0,972.22,"In 2013, the district Palakkad had an area of 2557.93 hectares dedicated to pepper cultivation, producing 972.22 tonnes without any disruptions."
Malappuram,2904.72,454.79,2013,0,0,0.0,454.79,"In 2013, the district Malappuram had an area of 2904.72 hectares dedicated to pepper cultivation, producing 454.79 tonnes without any disruptions."
Kozhikode,3625.72,974.79,2013,0,0,0.0,974.79,"In 2013, the district Kozhikode had an area of 3625.72 hectares dedicated to pepper cultivation, producing 974.79 tonnes without any disruptions."
Wayanad,12044.97,6354.02,2013,0,0,0.0,6354.02,"In 2013, the district Wayanad had an area of 12044.97 hectares dedicated to pepper cultivation, producing 6354.02 tonnes without any disruptions."
Kannur,4201.15,1528.32,2013,0,0,0.0,1528.32,"In 2013, the district Kannur had an area of 4201.15 hectares dedicated to pepper cultivation, producing 1528.32 tonnes without any disruptions."
Kasaragode,2640.82,1143.04,2013,0,0,0.0,1143.04,"In 2013, the district Kasaragode had an area of 2640.82 hectares dedicated to pepper cultivation, producing 1143.04 tonnes without any disruptions."
Thiruvananthapuram,2390.38,1013.28,2014,0,0,0.0,1013.28,"In 2014, the district Thiruvananthapuram had an area of 2390.38 hectares dedicated to pepper cultivation, producing 1013.28 tonnes without any disruptions."
Kollam,3455.65,1134.24,2014,0,0,0.0,1134.24,"In 2014, the district Kollam had an area of 3455.65 hectares dedicated to pepper cultivation, producing 1134.24 tonnes without any disruptions."
Pathanamthitta,1665.68,584.5,2014,0,0,0.0,584.5,"In 2014, the district Pathanamthitta had an area of 1665.68 hectares dedicated to pepper cultivation, producing 584.5 tonnes without any disruptions."
Alappuzha,625.86,136.14,2014,0,0,0.0,136.14,"In 2014, the district Alappuzha had an area of 625.86 hectares dedicated to pepper cultivation, producing 136.14 tonnes without any disruptions."
Kottayam,3316.99,1186.48,2014,0,0,0.0,1186.48,"In 2014, the district Kottayam had an area of 3316.99 hectares dedicated to pepper cultivation, producing 1186.48 tonnes without any disruptions."
Idukki,42929.67,25635.73,2014,0,0,0.0,25635.73,"In 2014, the district Idukki had an area of 42929.67 hectares dedicated to pepper cultivation, producing 25635.73 tonnes without any disruptions."
Ernakulam,1872.54,528.56,2014,0,0,0.0,528.56,"In 2014, the district Ernakulam had an area of 1872.54 hectares dedicated to pepper cultivation, producing 528.56 tonnes without any disruptions."
Thrissur,1743.79,466.63,2014,0,0,0.0,466.63,"In 2014, the district Thrissur had an area of 1743.79 hectares dedicated to pepper cultivation, producing 466.63 tonnes without any disruptions."
Palakkad,2407.87,915.18,2014,0,0,0.0,915.18,"In 2014, the district Palakkad had an area of 2407.87 hectares dedicated to pepper cultivation, producing 915.18 tonnes without any disruptions."
Malappuram,3054.7,478.27,2014,0,0,0.0,478.27,"In 2014, the district Malappuram had an area of 3054.7 hectares dedicated to pepper cultivation, producing 478.27 tonnes without any disruptions."
Kozhikode,3613.11,971.4,2014,0,0,0.0,971.4,"In 2014, the district Kozhikode had an area of 3613.11 hectares dedicated to pepper cultivation, producing 971.4 tonnes without any disruptions."
Wayanad,12664.35,6680.75,2014,0,0,0.0,6680.75,"In 2014, the district Wayanad had an area of 12664.35 hectares dedicated to pepper cultivation, producing 6680.75 tonnes without any disruptions."
Kannur,4200.28,1528.0,2014,0,0,0.0,1528.0,"In 2014, the district Kannur had an area of 4200.28 hectares dedicated to pepper cultivation, producing 1528.0 tonnes without any disruptions."
Kasaragode,2705.58,1171.07,2014,0,0,0.0,1171.07,"In 2014, the district Kasaragode had an area of 2705.58 hectares dedicated to pepper cultivation, producing 1171.07 tonnes without any disruptions."
Thiruvananthapuram,2344.81,993.96,2015,0,0,0.0,993.96,"In 2015, the district Thiruvananthapuram had an area of 2344.81 hectares dedicated to pepper cultivation, producing 993.96 tonnes without any disruptions."
Kollam,3462.24,1136.4,2015,0,0,0.0,1136.4,"In 2015, the district Kollam had an area of 3462.24 hectares dedicated to pepper cultivation, producing 1136.4 tonnes without any disruptions."
Pathanamthitta,1773.08,622.19,2015,0,0,0.0,622.19,"In 2015, the district Pathanamthitta had an area of 1773.08 hectares dedicated to pepper cultivation, producing 622.19 tonnes without any disruptions."
Alappuzha,633.24,137.75,2015,0,0,0.0,137.75,"In 2015, the district Alappuzha had an area of 633.24 hectares dedicated to pepper cultivation, producing 137.75 tonnes without any disruptions."
Kottayam,3260.66,1166.33,2015,0,0,0.0,1166.33,"In 2015, the district Kottayam had an area of 3260.66 hectares dedicated to pepper cultivation, producing 1166.33 tonnes without any disruptions."
Idukki,40918.53,24434.77,2015,0,0,0.0,24434.77,"In 2015, the district Idukki had an area of 40918.53 hectares dedicated to pepper cultivation, producing 24434.77 tonnes without any disruptions."
Ernakulam,1803.83,509.17,2015,0,0,0.0,509.17,"In 2015, the district Ernakulam had an area of 1803.83 hectares dedicated to pepper cultivation, producing 509.17 tonnes without any disruptions."
Thrissur,1861.34,498.09,2015,0,0,0.0,498.09,"In 2015, the district Thrissur had an area of 1861.34 hectares dedicated to pepper cultivation, producing 498.09 tonnes without any disruptions."
Palakkad,2536.71,964.15,2015,0,0,0.0,964.15,"In 2015, the district Palakkad had an area of 2536.71 hectares dedicated to pepper cultivation, producing 964.15 tonnes without any disruptions."
Malappuram,2793.8,437.42,2015,0,0,0.0,437.42,"In 2015, the district Malappuram had an area of 2793.8 hectares dedicated to pepper cultivation, producing 437.42 tonnes without any disruptions."
Kozhikode,3335.55,896.78,2015,0,0,0.0,896.78,"In 2015, the district Kozhikode had an area of 3335.55 hectares dedicated to pepper cultivation, producing 896.78 tonnes without any disruptions."
Wayanad,12702.34,6700.79,2015,0,0,0.0,6700.79,"In 2015, the district Wayanad had an area of 12702.34 hectares dedicated to pepper cultivation, producing 6700.79 tonnes without any disruptions."
Kannur,4057.71,1476.14,2015,0,0,0.0,1476.14,"In 2015, the district Kannur had an area of 4057.71 hectares dedicated to pepper cultivation, producing 1476.14 tonnes without any disruptions."
Kasaragode,2653.82,1148.67,2015,0,0,0.0,1148.67,"In 2015, the district Kasaragode had an area of 2653.82 hectares dedicated to pepper cultivation, producing 1148.67 tonnes without any disruptions."
Thiruvananthapuram,2304.17,976.73,2016,0,0,0.0,976.73,"In 2016, the district Thiruvananthapuram had an area of 2304.17 hectares dedicated to pepper cultivation, producing 976.73 tonnes without any disruptions."
Kollam,3393.9,1113.97,2016,0,0,0.0,1113.97,"In 2016, the district Kollam had an area of 3393.9 hectares dedicated to pepper cultivation, producing 1113.97 tonnes without any disruptions."
Pathanamthitta,1732.94,608.1,2016,0,0,0.0,608.1,"In 2016, the district Pathanamthitta had an area of 1732.94 hectares dedicated to pepper cultivation, producing 608.1 tonnes without any disruptions."
Alappuzha,599.01,130.3,2016,0,0,0.0,130.3,"In 2016, the district Alappuzha had an area of 599.01 hectares dedicated to pepper cultivation, producing 130.3 tonnes without any disruptions."
Kottayam,3283.22,1174.4,2016,0,0,0.0,1174.4,"In 2016, the district Kottayam had an area of 3283.22 hectares dedicated to pepper cultivation, producing 1174.4 tonnes without any disruptions."
Idukki,41572.21,24825.12,2016,0,0,0.0,24825.12,"In 2016, the district Idukki had an area of 41572.21 hectares dedicated to pepper cultivation, producing 24825.12 tonnes without any disruptions."
Ernakulam,1834.4,517.8,2016,0,0,0.0,517.8,"In 2016, the district Ernakulam had an area of 1834.4 hectares dedicated to pepper cultivation, producing 517.8 tonnes without any disruptions."
Thrissur,1834.12,490.81,2016,0,0,0.0,490.81,"In 2016, the district Thrissur had an area of 1834.12 hectares dedicated to pepper cultivation, producing 490.81 tonnes without any disruptions."
Palakkad,2547.56,968.28,2016,0,0,0.0,968.28,"In 2016, the district Palakkad had an area of 2547.56 hectares dedicated to pepper cultivation, producing 968.28 tonnes without any disruptions."
Malappuram,3040.6,476.06,2016,0,0,0.0,476.06,"In 2016, the district Malappuram had an area of 3040.6 hectares dedicated to pepper cultivation, producing 476.06 tonnes without any disruptions."
Kozhikode,3528.75,948.72,2016,0,0,0.0,948.72,"In 2016, the district Kozhikode had an area of 3528.75 hectares dedicated to pepper cultivation, producing 948.72 tonnes without any disruptions."
Wayanad,12583.37,6638.03,2016,0,0,0.0,6638.03,"In 2016, the district Wayanad had an area of 12583.37 hectares dedicated to pepper cultivation, producing 6638.03 tonnes without any disruptions."
Kannur,4095.54,1489.9,2016,0,0,0.0,1489.9,"In 2016, the district Kannur had an area of 4095.54 hectares dedicated to pepper cultivation, producing 1489.9 tonnes without any disruptions."
Kasaragode,2710.66,1173.27,2016,0,0,0.0,1173.27,"In 2016, the district Kasaragode had an area of 2710.66 hectares dedicated to pepper cultivation, producing 1173.27 tonnes without any disruptions."
Thiruvananthapuram,2239.16,949.18,2017,0,0,0.0,949.18,"In 2017, the district Thiruvananthapuram had an area of 2239.16 hectares dedicated to pepper cultivation, producing 949.18 tonnes without any disruptions."
Kollam,3244.75,1065.02,2017,0,0,0.0,1065.02,"In 2017, the district Kollam had an area of 3244.75 hectares dedicated to pepper cultivation, producing 1065.02 tonnes without any disruptions."
Pathanamthitta,1787.74,627.33,2017,0,0,0.0,627.33,"In 2017, the district Pathanamthitta had an area of 1787.74 hectares dedicated to pepper cultivation, producing 627.33 tonnes without any disruptions."
Alappuzha,609.41,132.57,2017,0,0,0.0,132.57,"In 2017, the district Alappuzha had an area of 609.41 hectares dedicated to pepper cultivation, producing 132.57 tonnes without any disruptions."
Kottayam,3341.04,1195.08,2017,0,0,0.0,1195.08,"In 2017, the district Kottayam had an area of 3341.04 hectares dedicated to pepper cultivation, producing 1195.08 tonnes without any disruptions."
Idukki,43253.88,25829.34,2017,0,0,0.0,25829.34,"In 2017, the district Idukki had an area of 43253.88 hectares dedicated to pepper cultivation, producing 25829.34 tonnes without any disruptions."
Ernakulam,1922.04,542.54,2017,0,0,0.0,542.54,"In 2017, the district Ernakulam had an area of 1922.04 hectares dedicated to pepper cultivation, producing 542.54 tonnes without any disruptions."
Thrissur,1790.47,479.13,2017,0,0,0.0,479.13,"In 2017, the district Thrissur had an area of 1790.47 hectares dedicated to pepper cultivation, producing 479.13 tonnes without any disruptions."
Palakkad,2529.3,961.34,2017,0,0,0.0,961.34,"In 2017, the district Palakkad had an area of 2529.3 hectares dedicated to pepper cultivation, producing 961.34 tonnes without any disruptions."
Malappuram,2935.8,459.66,2017,0,0,0.0,459.66,"In 2017, the district Malappuram had an area of 2935.8 hectares dedicated to pepper cultivation, producing 459.66 tonnes without any disruptions."
Kozhikode,3368.13,905.54,2017,0,0,0.0,905.54,"In 2017, the district Kozhikode had an area of 3368.13 hectares dedicated to pepper cultivation, producing 905.54 tonnes without any disruptions."
Wayanad,12776.02,6739.66,2017,0,0,0.0,6739.66,"In 2017, the district Wayanad had an area of 12776.02 hectares dedicated to pepper cultivation, producing 6739.66 tonnes without any disruptions."
Kannur,4175.41,1518.95,2017,0,0,0.0,1518.95,"In 2017, the district Kannur had an area of 4175.41 hectares dedicated to pepper cultivation, producing 1518.95 tonnes without any disruptions."
Kasaragode,2616.33,1132.44,2017,0,0,0.0,1132.44,"In 2017, the district Kasaragode had an area of 2616.33 hectares dedicated to pepper cultivation, producing 1132.44 tonnes without any disruptions."
Thiruvananthapuram,2326.36,986.14,2018,1,31,305.7,680.44,"In 2018, the district Thiruvananthapuram had an area of 2326.36 hectares dedicated to pepper cultivation, producing 986.14 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 680.44 tonnes."
Kollam,3222.48,1057.71,2018,1,31,327.89,729.82,"In 2018, the district Kollam had an area of 3222.48 hectares dedicated to pepper cultivation, producing 1057.71 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 729.82 tonnes."
Pathanamthitta,1782.19,625.38,2018,1,31,193.87,431.51,"In 2018, the district Pathanamthitta had an area of 1782.19 hectares dedicated to pepper cultivation, producing 625.38 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 431.51 tonnes."
Alappuzha,643.96,140.08,2018,1,31,43.42,96.66,"In 2018, the district Alappuzha had an area of 643.96 hectares dedicated to pepper cultivation, producing 140.08 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 96.66 tonnes."
Kottayam,3348.38,1197.71,2018,1,31,371.29,826.42,"In 2018, the district Kottayam had an area of 3348.38 hectares dedicated to pepper cultivation, producing 1197.71 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 826.42 tonnes."
Idukki,42139.66,25163.97,2018,1,31,7800.83,17363.14,"In 2018, the district Idukki had an area of 42139.66 hectares dedicated to pepper cultivation, producing 25163.97 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 17363.14 tonnes."
Ernakulam,1776.54,501.47,2018,1,31,155.46,346.01,"In 2018, the district Ernakulam had an area of 1776.54 hectares dedicated to pepper cultivation, producing 501.47 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 346.01 tonnes."
Thrissur,1866.67,499.52,2018,1,31,154.85,344.67,"In 2018, the district Thrissur had an area of 1866.67 hectares dedicated to pepper cultivation, producing 499.52 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 344.67 tonnes."
Palakkad,2491.97,947.15,2018,1,31,293.62,653.53,"In 2018, the district Palakkad had an area of 2491.97 hectares dedicated to pepper cultivation, producing 947.15 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 653.53 tonnes."
Malappuram,3075.1,481.47,2018,1,31,149.26,332.21,"In 2018, the district Malappuram had an area of 3075.1 hectares dedicated to pepper cultivation, producing 481.47 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 332.21 tonnes."
Kozhikode,3635.06,977.3,2018,1,31,302.96,674.34,"In 2018, the district Kozhikode had an area of 3635.06 hectares dedicated to pepper cultivation, producing 977.3 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 674.34 tonnes."
Wayanad,12939.19,6825.74,2018,1,31,2115.98,4709.76,"In 2018, the district Wayanad had an area of 12939.19 hectares dedicated to pepper cultivation, producing 6825.74 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 4709.76 tonnes."
Kannur,4181.25,1521.08,2018,1,31,471.53,1049.55,"In 2018, the district Kannur had an area of 4181.25 hectares dedicated to pepper cultivation, producing 1521.08 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 1049.55 tonnes."
Kasaragode,2715.44,1175.34,2018,1,31,364.36,810.98,"In 2018, the district Kasaragode had an area of 2715.44 hectares dedicated to pepper cultivation, producing 1175.34 tonnes. Due to disruptions with a severity of 31%, the production was reduced to 810.98 tonnes."
Thiruvananthapuram,2373.52,1006.13,2019,1,28,281.72,724.41,"In 2019, the district Thiruvananthapuram had an area of 2373.52 hectares dedicated to pepper cultivation, producing 1006.13 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 724.41 tonnes."
Kollam,3269.04,1072.99,2019,1,28,300.44,772.55,"In 2019, the district Kollam had an area of 3269.04 hectares dedicated to pepper cultivation, producing 1072.99 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 772.55 tonnes."
Pathanamthitta,1650.58,579.2,2019,1,28,162.18,417.02,"In 2019, the district Pathanamthitta had an area of 1650.58 hectares dedicated to pepper cultivation, producing 579.2 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 417.02 tonnes."
Alappuzha,619.5,134.76,2019,1,28,37.73,97.03,"In 2019, the district Alappuzha had an area of 619.5 hectares dedicated to pepper cultivation, producing 134.76 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 97.03 tonnes."
Kottayam,3355.22,1200.16,2019,1,28,336.04,864.12,"In 2019, the district Kottayam had an area of 3355.22 hectares dedicated to pepper cultivation, producing 1200.16 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 864.12 tonnes."
Idukki,43530.93,25994.78,2019,1,28,7278.54,18716.24,"In 2019, the district Idukki had an area of 43530.93 hectares dedicated to pepper cultivation, producing 25994.78 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 18716.24 tonnes."
Ernakulam,1880.08,530.69,2019,1,28,148.59,382.1,"In 2019, the district Ernakulam had an area of 1880.08 hectares dedicated to pepper cultivation, producing 530.69 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 382.1 tonnes."
Thrissur,1717.89,459.7,2019,1,28,128.72,330.98,"In 2019, the district Thrissur had an area of 1717.89 hectares dedicated to pepper cultivation, producing 459.7 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 330.98 tonnes."
Palakkad,2538.87,964.97,2019,1,28,270.19,694.78,"In 2019, the district Palakkad had an area of 2538.87 hectares dedicated to pepper cultivation, producing 964.97 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 694.78 tonnes."
Malappuram,3081.98,482.54,2019,1,28,135.11,347.43,"In 2019, the district Malappuram had an area of 3081.98 hectares dedicated to pepper cultivation, producing 482.54 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 347.43 tonnes."
Kozhikode,3348.97,900.39,2019,1,28,252.11,648.28,"In 2019, the district Kozhikode had an area of 3348.97 hectares dedicated to pepper cultivation, producing 900.39 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 648.28 tonnes."
Wayanad,12520.91,6605.09,2019,1,28,1849.43,4755.66,"In 2019, the district Wayanad had an area of 12520.91 hectares dedicated to pepper cultivation, producing 6605.09 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 4755.66 tonnes."
Kannur,4430.1,1611.61,2019,1,28,451.25,1160.36,"In 2019, the district Kannur had an area of 4430.1 hectares dedicated to pepper cultivation, producing 1611.61 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 1160.36 tonnes."
Kasaragode,2813.14,1217.63,2019,1,28,340.94,876.69,"In 2019, the district Kasaragode had an area of 2813.14 hectares dedicated to pepper cultivation, producing 1217.63 tonnes. Due to disruptions with a severity of 28%, the production was reduced to 876.69 tonnes."
Thiruvananthapuram,2338.18,991.15,2020,0,0,0.0,991.15,"In 2020, the district Thiruvananthapuram had an area of 2338.18 hectares dedicated to pepper cultivation, producing 991.15 tonnes without any disruptions."
Kollam,3397.43,1115.13,2020,0,0,0.0,1115.13,"In 2020, the district Kollam had an area of 3397.43 hectares dedicated to pepper cultivation, producing 1115.13 tonnes without any disruptions."
Pathanamthitta,1683.02,590.59,2020,0,0,0.0,590.59,"In 2020, the district Pathanamthitta had an area of 1683.02 hectares dedicated to pepper cultivation, producing 590.59 tonnes without any disruptions."
Alappuzha,603.29,131.24,2020,0,0,0.0,131.24,"In 2020, the district Alappuzha had an area of 603.29 hectares dedicated to pepper cultivation, producing 131.24 tonnes without any disruptions."
Kottayam,3314.46,1185.58,2020,0,0,0.0,1185.58,"In 2020, the district Kottayam had an area of 3314.46 hectares dedicated to pepper cultivation, producing 1185.58 tonnes without any disruptions."
Idukki,44018.0,26285.64,2020,0,0,0.0,26285.64,"In 2020, the district Idukki had an area of 44018.0 hectares dedicated to pepper cultivation, producing 26285.64 tonnes without any disruptions."
Ernakulam,1935.53,546.34,2020,0,0,0.0,546.34,"In 2020, the district Ernakulam had an area of 1935.53 hectares dedicated to pepper cultivation, producing 546.34 tonnes without any disruptions."
Thrissur,1863.97,498.79,2020,0,0,0.0,498.79,"In 2020, the district Thrissur had an area of 1863.97 hectares dedicated to pepper cultivation, producing 498.79 tonnes without any disruptions."
Palakkad,2512.85,955.08,2020,0,0,0.0,955.08,"In 2020, the district Palakkad had an area of 2512.85 hectares dedicated to pepper cultivation, producing 955.08 tonnes without any disruptions."
Malappuram,2938.45,460.07,2020,0,0,0.0,460.07,"In 2020, the district Malappuram had an area of 2938.45 hectares dedicated to pepper cultivation, producing 460.07 tonnes without any disruptions."
Kozhikode,3577.63,961.86,2020,0,0,0.0,961.86,"In 2020, the district Kozhikode had an area of 3577.63 hectares dedicated to pepper cultivation, producing 961.86 tonnes without any disruptions."
Wayanad,12685.42,6691.87,2020,0,0,0.0,6691.87,"In 2020, the district Wayanad had an area of 12685.42 hectares dedicated to pepper cultivation, producing 6691.87 tonnes without any disruptions."
Kannur,4355.22,1584.37,2020,0,0,0.0,1584.37,"In 2020, the district Kannur had an area of 4355.22 hectares dedicated to pepper cultivation, producing 1584.37 tonnes without any disruptions."
Kasaragode,2828.25,1224.17,2020,0,0,0.0,1224.17,"In 2020, the district Kasaragode had an area of 2828.25 hectares dedicated to pepper cultivation, producing 1224.17 tonnes without any disruptions."
